distributor,distribution_year,distribution_period,region,reporting_year,reporting_period,country,party_type,track_title,track_id,iswc,isrc,show_name,episode_name,use_code,income_type,raw_income_type,general_source,music_user,raw_music_user,performance_period,survey_type,number_of_plays,licensor_payor,payable_amount,base_amount,bonus_amount,is_adjustment,sales_period
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE FAMILY,2017-01-01,,10692,BMI,5.85,5.85,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE FAMILY,2017-01-01,,6943,BMI,3.8,3.8,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE INDIV,2017-01-01,,32258,BMI,23.01,23.01,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE INDIV,2017-01-01,,18882,BMI,13.47,13.47,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE STUDENT,2017-01-01,,6120,BMI,1.79,1.79,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE STUDENT,2017-01-01,,3039,BMI,0.89,0.89,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE TRIAL,2017-01-01,,19021,BMI,2.64,2.64,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE TRIAL,2017-01-01,,8877,BMI,1.23,1.23,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,GROOVE MUSIC,GROOVE MUSIC,2017-01-01,,106,BMI,0.16,0.16,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,GROOVE MUSIC,GROOVE MUSIC,2017-01-01,,12,BMI,0.02,0.02,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,OTHER,INTERNET,2017-01-01,,484,BMI,0.06,0.06,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,OTHER,INTERNET,2017-01-01,,58978,BMI,0.07,0.07,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,PANDORA,PANDORA,2017-01-01,,1826098,BMI,328.86,328.86,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,PANDORA,PANDORA PLUS,2017-01-01,,145894,BMI,19.15,19.15,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,PANDORA,PANDORA PREMIUM,2017-01-01,,106464,BMI,2.79,2.79,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,NAPSTER,RHAPSODY INTER,2017-01-01,,1729,BMI,0.36,0.36,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,SPOTIFY,SPOTIFY FREE,2017-01-01,,120075,BMI,12.02,12.02,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,SPOTIFY,SPOTIFY FREE,2017-01-01,,56794,BMI,5.68,5.68,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,SPOTIFY,SPOTIFY PREM,2017-01-01,,79188,BMI,20.4,20.4,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,SPOTIFY,SPOTIFY PREM,2017-01-01,,44971,BMI,11.59,11.59,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,TIDAL,TIDAL,2017-01-01,,1628,BMI,0.82,0.82,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,TIDAL,TIDAL,2017-01-01,,2470,BMI,1.24,1.24,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,YOUTUBE,YOUTUBE,2017-01-01,,202078,BMI,17.27,17.27,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,YOUTUBE,YOUTUBE,2017-01-01,,257004,BMI,22.0,22.0,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,YOUTUBE,YOUTUBE RED,2017-01-01,,3329,BMI,0.79,0.79,0.0,N,
BMI,2017,2,domestic,2017,20172,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,YOUTUBE,YOUTUBE RED,2017-01-01,,12198,BMI,2.89,2.89,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE FAMILY,2017-01-01,,8926,BMI,4.86,4.86,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE FAMILY,2017-01-01,,5868,BMI,3.19,3.19,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE INDIV,2017-01-01,,29826,BMI,21.13,21.13,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE INDIV,2017-01-01,,17041,BMI,12.07,12.07,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE STUDENT,2017-01-01,,6452,BMI,1.85,1.85,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE STUDENT,2017-01-01,,3107,BMI,0.89,0.89,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE TRIAL,2017-01-01,,12380,BMI,1.67,1.67,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE TRIAL,2017-01-01,,5956,BMI,0.8,0.8,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,GROOVE MUSIC,GROOVE MUSIC,2017-01-01,,26,BMI,0.08,0.08,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,GROOVE MUSIC,GROOVE MUSIC,2017-01-01,,7,BMI,0.02,0.02,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,OTHER,INTERNET,2017-01-01,,486,BMI,0.06,0.06,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,OTHER,INTERNET,2017-01-01,,420,BMI,0.05,0.05,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,NAPSTER,NAPSTER PREMIER,2017-01-01,,757,BMI,0.16,0.16,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,PANDORA,PANDORA,2017-01-01,,1816374,BMI,324.22,324.22,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,PANDORA,PANDORA PLUS,2017-01-01,,147966,BMI,20.18,20.18,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,PANDORA,PANDORA PREMIUM,2017-01-01,,197919,BMI,17.1,17.1,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,SPOTIFY,SPOTIFY FREE,2017-01-01,,147460,BMI,18.13,18.13,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,SPOTIFY,SPOTIFY FREE,2017-01-01,,32992,BMI,4.06,4.06,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,SPOTIFY,SPOTIFY PREM,2017-01-01,,90452,BMI,22.27,22.27,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,SPOTIFY,SPOTIFY PREM,2017-01-01,,35912,BMI,8.84,8.84,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,TIDAL,TIDAL,2017-01-01,,1277,BMI,0.73,0.73,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,TIDAL,TIDAL,2017-01-01,,2308,BMI,1.32,1.32,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,YOUTUBE,YOUTUBE,2017-01-01,,783764,BMI,100.27,100.27,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,YOUTUBE,YOUTUBE,2017-01-01,,190452,BMI,24.37,24.37,0.0,N,
BMI,2017,3,domestic,2017,20173,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,YOUTUBE,YOUTUBE RED,2017-01-01,,69666,BMI,14.04,14.04,0.0,N,
